decision,current_field,proposed_field,category,occurrences,comment,rationale,interfaces,sample_locations
reject,environment,environments,RENAME,12,an environment = a cohesive set of env vars; singular is intentional,environments (array should be plural),Application; CreateApplicationCommandInput; UpdateApplicationCommandInput; UpdateConfigProviderCommandInput; GetEnvironmentCommandOutput; LinkedApplicationEnvironment; LinkedAddonEnvironment; UpdateEnvironmentCommandInput …,Application.environment; CreateApplicationCommandInput.environment; UpdateApplicationCommandInput.environment
accept,creationDate,createdAt,RENAME,11,,createdAt (standardize to At suffix),Addon; Application; BackupBase; CellarInfo; Instance; JenkinsInfo; OauthToken; Profile …,Addon.creationDate; Application.creationDate; BackupBase.creationDate
accept,enabled,isEnabled,RENAME,6,,isEnabled (boolean needs is/has/can/should prefix),ElasticsearchInfo; JenkinsInfo; ProductRuntime; ProductAddonClusterVersion; ProductAddonDedicatedVersion,ElasticsearchInfo.services.enabled; ElasticsearchInfo.features.enabled; JenkinsInfo.features.enabled
accept,available,availableVersions,RENAME,5,,availables (array should be plural),CheckKeycloakVersionCommandOutput; KubernetesProduct; KubernetesClusterVersionCheck; CheckMetabaseVersionCommandOutput; CheckOtoroshiVersionCommandOutput,CheckKeycloakVersionCommandOutput.available; KubernetesProduct.versions.available; KubernetesClusterVersionCheck.available
accept,email,emailAddress,RENAME,5,,emailAddress (be explicit),GetAddonSsoCommandOutput; AddOrganisationMemberCommandInput; OrganisationMember; Profile; CreateApiTokenCommandInput,GetAddonSsoCommandOutput.email; AddOrganisationMemberCommandInput.email; OrganisationMember.email
accept,expirationDate,expiresAt,RENAME,5,,expiresAt (standardize to At suffix),BackupBase; OauthToken; ApiToken; CreateApiTokenCommandInput; CreateApiTokenCommandResponse,BackupBase.expirationDate; OauthToken.expirationDate; ApiToken.expirationDate
accept,autoscalingEnabled,isAutoscalingEnabled,RENAME,4,,isAutoscalingEnabled (boolean needs is/has/can/should prefix),KubernetesClusterFeatures; KubernetesNodeGroupCreationPayload; KubernetesNodeGroup; UpdateKubernetesNodeGroupCommandInput,KubernetesClusterFeatures.autoscalingEnabled; KubernetesNodeGroupCreationPayload.autoscalingEnabled; KubernetesNodeGroup.autoscalingEnabled
accept,consumptionEndDate,consumptionEndedAt,RENAME,4,,consumptionEndAt (standardize to At suffix),Invoice; InvoiceUptimeDetail; InvoiceCountableDetail; InvoiceUnusable,Invoice.consumptionEndDate; InvoiceUptimeDetail.consumptionEndDate; InvoiceCountableDetail.consumptionEndDate
accept,consumptionStartDate,consumptionStartedAt,RENAME,4,,consumptionStartAt (standardize to At suffix),Invoice; InvoiceUptimeDetail; InvoiceCountableDetail; InvoiceUnusable,Invoice.consumptionStartDate; InvoiceUptimeDetail.consumptionStartDate; InvoiceCountableDetail.consumptionStartDate
accept,scope,scopes,RENAME,4,,scopes (array should be plural),CreateEmailNotificationCommandInput; CreateWebhookNotificationCommandInput; WebhookNotification; EmailNotification,CreateEmailNotificationCommandInput.scope; CreateWebhookNotificationCommandInput.scope; WebhookNotification.scope
accept,waitForActive,shouldWaitForActive,RENAME,4,,isWaitForActive (boolean needs is/has/can/should prefix),CreateKubernetesClusterCommandInput; RedeployKubernetesClusterCommandInput; ResumeKubernetesClusterCommandInput; UpdateKubernetesClusterVersionCommandInput,CreateKubernetesClusterCommandInput.waitForActive; RedeployKubernetesClusterCommandInput.waitForActive; ResumeKubernetesClusterCommandInput.waitForActive
accept,archived,isArchived,RENAME,3,,isArchived (boolean needs is/has/can/should prefix),Application; CreateApplicationCommandInput; UpdateApplicationCommandInput,Application.archived; CreateApplicationCommandInput.archived; UpdateApplicationCommandInput.archived
accept,available,isAvailable,RENAME,3,,isAvailable (boolean needs is/has/can/should prefix),ProductRuntimeFlavor; ElasticsearchServiceInfo; PulsarInfo,ProductRuntimeFlavor.available; ElasticsearchServiceInfo.available; PulsarInfo.available
accept,deleted,wasDeleted,RENAME,3,"`was` prefix: reports the outcome of the operation that just ran, not a lasting state of the resource",isDeleted (boolean needs is/has/can/should prefix),DeleteHashKeyElementCommandOutput; DeleteKeyCommandOutput; DeleteSetKeyElementCommandOutput,DeleteHashKeyElementCommandOutput.deleted; DeleteKeyCommandOutput.deleted; DeleteSetKeyElementCommandOutput.deleted
accept,deletionDate,deletedAt,RENAME,3,,deletedAt (standardize to At suffix),Instance; JenkinsInfo; GetPulsarInfoInnerCommandOutput,Instance.deletionDate; JenkinsInfo.deletionDate; GetPulsarInfoInnerCommandOutput.deletionDate
accept,emissionDate,emittedAt,RENAME,3,,emittedAt (standardize to At suffix),Invoice; InvoiceSummary; ListMigrationPreorderCommandOutput,Invoice.emissionDate; InvoiceSummary.emissionDate; ListMigrationPreorderCommandOutput.emissionDate
accept,favourite,isFavourite,RENAME,3,,isFavourite (boolean needs is/has/can/should prefix),Application; CreateApplicationCommandInput; UpdateApplicationCommandInput,Application.favourite; CreateApplicationCommandInput.favourite; UpdateApplicationCommandInput.favourite
